response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0000,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0005,0.0000,0.0007,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0192,0.0008,0.0005,0.0001,0.0182,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0004,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0199,0.0012,0.0008,0.0001,0.0185,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0195,0.0008,0.0005,0.0001,0.0185,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0022,0.0013,0.0010,0.0001,0.0007,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0019,0.0011,0.0008,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0192,0.0009,0.0006,0.0001,0.0180,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0019,0.0009,0.0006,0.0001,0.0008,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0228,0.0008,0.0005,0.0001,0.0217,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0006,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0261,0.0008,0.0005,0.0001,0.0251,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0200,0.0009,0.0005,0.0001,0.0190,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0019,0.0008,0.0004,0.0001,0.0008,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0020,0.0012,0.0009,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0018,0.0010,0.0006,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0198,0.0008,0.0004,0.0001,0.0188,0.0001,200,0.0002
