response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0054,0.0010,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0053,0.0011,0.0005,0.0000,0.0040,0.0001,200,0.0002
0.0055,0.0011,0.0005,0.0001,0.0041,0.0001,200,0.0001
0.0058,0.0012,0.0006,0.0001,0.0044,0.0001,200,0.0002
0.0056,0.0011,0.0006,0.0001,0.0043,0.0001,200,0.0001
0.0055,0.0010,0.0005,0.0001,0.0042,0.0001,200,0.0001
0.0056,0.0012,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0056,0.0010,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0078,0.0011,0.0005,0.0000,0.0065,0.0001,200,0.0001
0.0054,0.0011,0.0005,0.0001,0.0041,0.0001,200,0.0001
0.0063,0.0011,0.0005,0.0001,0.0049,0.0002,200,0.0001
0.0057,0.0011,0.0006,0.0000,0.0043,0.0001,200,0.0001
0.0064,0.0012,0.0005,0.0001,0.0050,0.0001,200,0.0002
0.0058,0.0014,0.0008,0.0001,0.0042,0.0001,200,0.0001
0.0054,0.0010,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0062,0.0011,0.0006,0.0001,0.0048,0.0001,200,0.0002
0.0056,0.0011,0.0005,0.0001,0.0043,0.0001,200,0.0001
0.0056,0.0010,0.0005,0.0001,0.0043,0.0001,200,0.0001
0.0053,0.0011,0.0006,0.0001,0.0039,0.0001,200,0.0001
0.0067,0.0011,0.0005,0.0001,0.0054,0.0001,200,0.0002
0.0052,0.0011,0.0005,0.0001,0.0039,0.0001,200,0.0002
0.0053,0.0010,0.0005,0.0000,0.0041,0.0001,200,0.0002
0.0053,0.0011,0.0005,0.0000,0.0040,0.0001,200,0.0001
0.0056,0.0010,0.0005,0.0000,0.0044,0.0001,200,0.0002
0.0056,0.0011,0.0005,0.0000,0.0043,0.0001,200,0.0001
0.0054,0.0011,0.0006,0.0000,0.0040,0.0001,200,0.0001
0.0056,0.0011,0.0005,0.0000,0.0043,0.0001,200,0.0002
0.0077,0.0012,0.0006,0.0001,0.0063,0.0001,200,0.0001
0.0055,0.0010,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0051,0.0011,0.0005,0.0001,0.0038,0.0001,200,0.0001
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0057,0.0012,0.0006,0.0001,0.0042,0.0001,200,0.0002
0.0053,0.0012,0.0006,0.0000,0.0039,0.0001,200,0.0002
0.0054,0.0012,0.0005,0.0001,0.0040,0.0001,200,0.0001
0.0054,0.0011,0.0005,0.0001,0.0041,0.0001,200,0.0001
0.0056,0.0011,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0057,0.0012,0.0006,0.0001,0.0043,0.0001,200,0.0002
0.0057,0.0011,0.0005,0.0001,0.0044,0.0001,200,0.0001
0.0052,0.0011,0.0005,0.0001,0.0040,0.0001,200,0.0002
0.0084,0.0011,0.0005,0.0001,0.0071,0.0001,200,0.0002
0.0075,0.0011,0.0006,0.0001,0.0061,0.0001,200,0.0001
0.0061,0.0011,0.0005,0.0001,0.0048,0.0001,200,0.0002
0.0063,0.0013,0.0007,0.0001,0.0047,0.0001,200,0.0002
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0052,0.0011,0.0005,0.0001,0.0039,0.0001,200,0.0002
0.0054,0.0011,0.0006,0.0000,0.0041,0.0001,200,0.0001
0.0058,0.0011,0.0005,0.0001,0.0044,0.0001,200,0.0002
0.0055,0.0012,0.0006,0.0001,0.0041,0.0001,200,0.0002
0.0058,0.0012,0.0006,0.0001,0.0044,0.0001,200,0.0001
0.0057,0.0011,0.0006,0.0001,0.0043,0.0001,200,0.0001
0.0053,0.0012,0.0006,0.0001,0.0040,0.0001,200,0.0002
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0053,0.0011,0.0005,0.0000,0.0040,0.0001,200,0.0002
0.0058,0.0016,0.0010,0.0000,0.0040,0.0001,200,0.0002
0.0058,0.0011,0.0005,0.0001,0.0045,0.0001,200,0.0001
0.0070,0.0012,0.0006,0.0001,0.0057,0.0001,200,0.0001
0.0053,0.0011,0.0005,0.0001,0.0040,0.0001,200,0.0002
0.0056,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0075,0.0012,0.0005,0.0001,0.0061,0.0001,200,0.0001
0.0060,0.0019,0.0013,0.0001,0.0039,0.0001,200,0.0001
0.0052,0.0011,0.0005,0.0001,0.0039,0.0001,200,0.0002
