response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0133,0.0013,0.0006,0.0001,0.0105,0.0015,200,0.0002
0.0134,0.0011,0.0005,0.0001,0.0109,0.0013,200,0.0002
0.0131,0.0012,0.0005,0.0000,0.0105,0.0014,200,0.0001
0.0132,0.0013,0.0006,0.0000,0.0105,0.0013,200,0.0002
0.0130,0.0010,0.0004,0.0000,0.0108,0.0012,200,0.0002
0.0132,0.0011,0.0005,0.0001,0.0108,0.0012,200,0.0002
0.0134,0.0011,0.0005,0.0001,0.0109,0.0013,200,0.0002
0.0131,0.0010,0.0005,0.0000,0.0106,0.0014,200,0.0002
0.0194,0.0010,0.0005,0.0000,0.0167,0.0015,200,0.0002
0.0127,0.0011,0.0004,0.0001,0.0104,0.0012,200,0.0001
0.0133,0.0010,0.0005,0.0001,0.0110,0.0012,200,0.0002
0.0130,0.0011,0.0005,0.0001,0.0106,0.0012,200,0.0002
0.0131,0.0010,0.0005,0.0001,0.0109,0.0011,200,0.0002
0.0136,0.0010,0.0005,0.0001,0.0112,0.0013,200,0.0002
0.0130,0.0011,0.0005,0.0001,0.0106,0.0012,200,0.0002
